herb_cn_name	herb_pinyin	herb_en_name	child_cn_name	child_en_name
天仙藤	Tianxianteng	Caulis Aristolochiae	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
天仙子	Tianxianzi	Hyoscyami Semen	止咳平喘药	Antitussive Antiasthmetics
天竺黄	Tianzhuhuang	Bamusaeconcretiosilicea	化痰药	Phlegresolving Medicine
甜瓜子	Tianguazi	Melo Semen	化痰药	Phlegresolving Medicine
铁丝威灵仙	Tiesiweilingxian	Smilax Scodinicaulis C.H. Wrisht?	祛风湿清热药	Wind-Dampnessdispelling And Heatclearing Medicinal
铁线透骨草	Tiexiantougucao	Herba Clematidis Aethusaefoliae	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
葶苈子	Tinglizi	Lepidii Semen Descurainiae Semen	止咳平喘药	Antitussive Antiasthmetics
通草	Tongcao	Tetrapanacis Medulla	利水渗湿药	Diuretic Dampness Excreting Drugs
土贝母	Tubeimu	Bolbostemae Paniculati Bulbus	化痰药	Phlegresolving Medicine
土茯苓	Tufuling	Smilacis Glabrae Rhixoma	清热解毒药	Antipyretic Detoxicate Drugs
土荆皮	Tujingpi	Pseudolaricis Cortex	解毒杀虫燥湿止痒药	Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching
菟丝子	Tusizi	Cuscutae Semen	补阳药	Yang Reinforcing Drugs
瓦楞子	Waleng	Arcae Concha	化痰药	Phlegresolving Medicine
瓦松	Wasong	Cotyledon Fimbriata Turcz.	清热凉血药	Heat Clearing Blood Cooling Drugs
王不留行	Wangbuliuxing	Vaccariae Semen	活血祛瘀药	Blood Activating Stasis Removing Drugs
威灵仙	Weilingxian	Radix Clematidis	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
委陵菜	Weilingcai	Potentillae Chinensis Herba	清热解毒药	Antipyretic Detoxicate Drugs
乌敛莓	Wulianmei	Cayratiae Japonicae Herba	清热解毒药	Antipyretic Detoxicate Drugs
乌梅	Wumei	Mume Fructus	收涩药	Astringent Medicinal
乌药	Wuyao	Linderae Radix	理气药	Qi Regulating Drugs
无患子	Wuhuanzi	Sapindi Mukorossi Semen	化痰药	Phlegresolving Medicine
无患子皮	Wuhuanzipi	Sapindi Mukorossiperic Arpium	化痰药	Phlegresolving Medicine
吴茱萸	Wuzhuyu	Evodiae Fructus	温里药	Warming Interior Drugs
梧桐子	Wutongzi	Semen Firmianae	消食药	Digestants
五倍子	Wubeizi	Galla Chinensis	收涩药	Astringent Medicinal
西河柳	Xiheliu	Tamaricis Cacumen	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
西红花	Xihonghua	Croci Stigma	活血祛瘀药	Blood Activating Stasis Removing Drugs
西洋参	Xiyangshen	Panacis Quinquefolii Radix	补气药	Qi Reinforcing Drugs
豨莶草	Xixiancao	Siegesbeckiae Herba	祛风湿清热药	Wind-Dampnessdispelling And Heatclearing Medicinal
细辛	Xixin	Asari Radix Et Rhizoma	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
夏枯草	Xiakucao	Prunellae Spica	清热泻火药	Fire Purging Drugs
夏天无	Xiatianwu	Corydalis Decumbens(Thunb.)Pers.	祛风湿清热药	Wind-Dampnessdispelling And Heatclearing Medicinal
仙鹤草	Xianhecao	Agrimonia Eupatoria	收敛止血药	Astringent Hemostatic Medicinal
仙茅	Xianmao	Curculiginis Rhizome	补阳药	Yang Reinforcing Drugs
仙桃草	Xiantaocao	Veronicae Peregrinae Herba	活血祛瘀药	Blood Activating Stasis Removing Drugs
相思子	Xiangsizi	Abrus Precatorius L.	清热解毒药	Antipyretic Detoxicate Drugs
香附	Xiangfu	Cyperi Rhizoma	理气药	Qi Regulating Drugs
香加皮	Xiangjiapi	Cortex Periplocae Radicis	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
香茅	Xiangmao	Cymbopon Citratus(D C.) Stapf	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
香薷	Xiangru	Moslae Herba	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
香橼	Xiangyuan	Citri Fructus	理气药	Qi Regulating Drugs
小茴香	Xiaohuixiang	Foeniculi Fructus	温里药	Warming Interior Drugs
小蓟	Xiaoji	Herba Cirsii	凉血止血药	Blood-Cooling Hemostatic Medicinal
小通草	Xiaotongcao	Stachyurimedulla Helwingiaemedulla	利水渗湿药	Diuretic Dampness Excreting Drugs
薤白	Xiebai	Allium Azureum Ledeb.	理气药	Qi Regulating Drugs
辛夷	Xinyi	Magnoliae Flos	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
徐长卿	Xuchangqing	Radix Cynanchi Paniculati	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
续断	Xuduan	Dipsaci Radix	补阳药	Yang Reinforcing Drugs
萱草根	Xuancaogen	Hemerocallis Radix	利水渗湿药	Diuretic Dampness Excreting Drugs
玄参	Xuanshen	Figwort Root	清热凉血药	Heat Clearing Blood Cooling Drugs
旋覆花	Xuanfuhua	Inulae Flos	化痰药	Phlegresolving Medicine
寻骨风	Xungufeng	Rhizoma Seu Herba Aristolochiae Mollissimae	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
鸦胆子	Yadanzi	Bruceae Fructus	清热解毒药	Antipyretic Detoxicate Drugs
鸭跖草	Yazhicao	Commelinae Herba	清热泻火药	Fire Purging Drugs
亚麻子	Yamazi	Semen Lini	润下药	Laxatives
延胡索	Yanhusuo	Corydalis Rhizoma	理气药	Qi Regulating Drugs
洋金花	Yangjinhua	Daturae Flos	止咳平喘药	Antitussive Antiasthmetics
野菊花	Yejuhua	Chrysanthemi Indici Flos	清热解毒药	Antipyretic Detoxicate Drugs
一枝黄花	Yizhihuanghua	Solidaginis Herba	辛凉解表药	Pungent Cool Diaphoretics
伊贝母	Yibeimu	Fritillariae Pallidiflorae Bulbus	化痰药	Phlegresolving Medicine
益母草	Yimucao	Leonuri Herba	活血祛瘀药	Blood Activating Stasis Removing Drugs
益智	Yizhi	Alpiniae Oxyphyliae Fructus	补阳药	Yang Reinforcing Drugs
薏苡仁	Yiyiren	Coicis Semen	利水渗湿药	Diuretic Dampness Excreting Drugs
茵陈	Yinchen	Artemisiae Scopariae Herba	利水渗湿药	Diuretic Dampness Excreting Drugs
银柴胡	Yinchaihu	Gypsophila Licentiana Hand.-Mazz.	清虚热药	Asthenic Heat Dispelling Drugs
银杏叶	Yinxingye	Ginkgo Folium	止咳平喘药	Antitussive Antiasthmetics
淫羊藿	Yinyanghuo	Epimrdii Herba	补阳药	Yang Reinforcing Drugs
罂粟壳	Yingsuke	Papaveris Pericarpium	收涩药	Astringent Medicinal
余甘子	Yuganzi	Phyllanthi Fructus	清热解毒药	Antipyretic Detoxicate Drugs
鱼腥草	Yuxingcao	Houttuyniae Herba	清热解毒药	Antipyretic Detoxicate Drugs
禹州漏芦	Yuzhouloulu	Echinopsis Radix	拔毒化腐生肌药	External Medicinal (Draw Out Toxin, Resolve Putridity)
玉米须	Yumixu	Maydis Seigma	利水渗湿药	Diuretic Dampness Excreting Drugs
玉竹	Yuzhu	Polygonati Odorati Rhizoma	补阴药	Yin-Tonifying Medicinal
郁金	Yujin	Curcumae Radix	活血祛瘀药	Blood Activating Stasis Removing Drugs
郁李仁	Yuliren	Semen Pruni	润下药	Laxatives
预知子	Yuzhizi	Akebiae Frucyus	理气药	Qi Regulating Drugs
芫花	Yuanhua	Flos Genkwa	通水药	Drastic Purgatives
芫荽	Yuansui	Coriandri Sativi Herba	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
月季花	Yuejihua	Mori Cortex	活血祛瘀药	Blood Activating Stasis Removing Drugs
云芝	Yunzhi	Coriolus	拔毒化腐生肌药	External Medicinal (Draw Out Toxin, Resolve Putridity)
皂荚子	Zaojiazi	Gleditsiae Sinensis Semen	化痰药	Phlegresolving Medicine
皂角刺	Zaojiaoci	Gleditsiae Spina	化痰药	Phlegresolving Medicine
泽兰	Zelan	Lycopi Herba	活血祛瘀药	Blood Activating Stasis Removing Drugs
泽漆	Zeqi	Euphorbiae Helioscopiae Herba	利水渗湿药	Diuretic Dampness Excreting Drugs
泽泻	Zexie	Alisma Orientale (Sam.) Juz.	利水渗湿药	Diuretic Dampness Excreting Drugs
浙贝母	Zhebeimu	Fritillariae Thunbrgii Bulbus	化痰药	Phlegresolving Medicine
知母	Zhimu	Anemarrhenae Rhizoma	清热泻火药	Fire Purging Drugs
栀子	Zhizi	Gardeniae Fructus	清热泻火药	Fire Purging Drugs
枳椇子	Zhijuzi	Hoveniae Dulcis Semen	利水渗湿药	Diuretic Dampness Excreting Drugs
枳壳	Zhike	Aurantii Fructus	理气药	Qi Regulating Drugs
枳实	Zhishi	Aurantii Fructus Immaturus	理气药	Qi Regulating Drugs
肿节风	Zhongjiefeng	Herba Sarcandrae	清热解毒药	Antipyretic Detoxicate Drugs
猪苓	Zhuling	Polyporus Umbellatus(Pers)Fr.	利水渗湿药	Diuretic Dampness Excreting Drugs
猪牙皂	Zhuyazao	Gleditsiae Fructus Abnormalis	化痰药	Phlegresolving Medicine
竹节参	Zhujieshen	Panacis Japonici Rhizoma	补气药	Qi Reinforcing Drugs
竹沥	Zhuli	Bomboo Juice	清热解毒药	Antipyretic Detoxicate Drugs
苎麻根	Zhumagen	Boehmeriae Rhizoma Et Radix	凉血止血药	Blood-Cooling Hemostatic Medicinal
紫草	Zicao	Lithospermum Erythrorhizon	清热凉血药	Heat Clearing Blood Cooling Drugs
紫花地丁	Zihuadiding	Violsse Herba	清热解毒药	Antipyretic Detoxicate Drugs
紫花前胡	Zihuaqianhu	Peucedanidecursivi Radix	化痰药	Phlegresolving Medicine
紫苏	Zisu	Perilla Frutescens	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
紫苏子	Zisuzi	Perillae Fructus	止咳平喘药	Antitussive Antiasthmetics
紫菀	Ziwan	Asteris Radix Et Rhizoma	止咳平喘药	Antitussive Antiasthmetics
葛根	Gegen	Radix Puerariae	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
海参	Haishen	Sea Cucumber	其它	Others
灯盏细辛	Dengzhanxixin	Erigeron Breviscapus	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
蒿本	Haoben	Radix et Rhizoma Ligustici Chinesis	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
