target_ID	TAR_ID	drugbank_ID	target_name	kegg
228	TAR00228	676	Tyrosine 3-monooxygenase	
229	TAR00229	687	mRNA of Protein-tyrosine phosphatase, non-receptor type 1	
230	TAR00230	689	Growth hormone-releasing hormone receptor	
231	TAR00231	690	Acetyl-CoA carboxylase 1	
232	TAR00232	692	Granulocyte-macrophage colony-stimulating factor receptor alpha chain	
233	TAR00233	693	Hemoglobin	
234	TAR00234	696	Kappa-type opioid receptor	
235	TAR00235	698	B-Raf proto-oncogene serine/threonine-protein kinase	
236	TAR00236	699	Nicotinic acid receptor	
237	TAR00237	705	Glutamate receptor 1	
238	TAR00238	707	72 kDa type IV collagenase	
239	TAR00239	713	Sodium-dependent dopamine transporter	
240	TAR00240	714	Glutathione reductase, mitochondrial	
241	TAR00241	716	5-hydroxytryptamine 7 receptor	
242	TAR00242	717	Interleukin-2 receptor subunit beta	
243	TAR00243	718	Folate receptor	
244	TAR00244	720	Erythropoietin Receptor	
245	TAR00245	722	Troponin I, cardiac muscle	
246	TAR00246	723	Cytosolic phospholipase A2	
247	TAR00247	724	Interleukin-2 receptor alpha chain	
248	TAR00248	725	5-hydroxytryptamine 1D receptor	
249	TAR00249	730	Retinoic acid receptor alpha	
250	TAR00250	731	HIV-1 protease	
251	TAR00251	734	D1 dopamine receptor-interacting protein calcyon	
252	TAR00252	737	Mineralocorticoid receptor	
253	TAR00253	738	Monocarboxylate transporter 1	
254	TAR00254	741	Potassium voltage-gated channel subfamily KQT member 1	
255	TAR00255	744	Myeloid cell surface antigen CD33	
256	TAR00256	754	Triacylglycerol lipase, pancreatic	
257	TAR00257	758	Thyroid hormone receptor alpha	
258	TAR00258	760	Heparin-binding growth factor 1	
259	TAR00259	762	Voltage-dependent calcium channel subunit alpha-2/delta-1	
260	TAR00260	765	Indoleamine 2,3-dioxygenase	
261	TAR00261	766	Beta-2 adrenergic receptor	
262	TAR00262	773	Folylpolyglutamate synthase, mitochondrial	
263	TAR00263	775	Acetyl-CoA carboxylase 2	
264	TAR00264	776	Bile salt export pump	
265	TAR00265	777	Tumor necrosis factor	
266	TAR00266	778	Cysteinyl leukotriene receptor 1	
267	TAR00267	780	Retinoic acid receptor RXR-gamma	
268	TAR00268	781	ATP-sensitive inward rectifier potassium channel 11	
269	TAR00269	784	Fc gamma receptor I	
270	TAR00270	785	Interferon-gamma receptor	
271	TAR00271	787	Vitamin K epoxide reductase complex subunit 1	
272	TAR00272	789	Alpha-1D adrenergic receptor	
273	TAR00273	791	Urokinase plasminogen activator surface receptor	
274	TAR00274	793	T-cell surface antigen CD2	
275	TAR00275	795	Branched chain amino acid-dependent aminotransferase	
276	TAR00276	796	Inosine-5'-monophosphate dehydrogenase 2	
277	TAR00277	805	Cytochrome P450 11B1, mitochondrial	
278	TAR00278	806	Sodium/potassium-transporting ATPase alpha-1 chain	
279	TAR00279	807	D-alanine-D-alanine ligase A	
280	TAR00280	809	5-methyltetrahydrofolate--homocysteine methyltransferase	
282	TAR00282	811	Peripheral-type benzodiazepine receptor	
283	TAR00283	812	Dihydrolipoamide dehydrogenase, mitochondrial	
284	TAR00284	813	Neuronal acetylcholine receptor subunit alpha-2	
285	TAR00285	814	Ryanodine receptor	
286	TAR00286	816	Biliverdin reductase A	
287	TAR00287	817	DNA topoisomerase II	
288	TAR00288	822	Aldose reductase	
289	TAR00289	823	Fibroblast growth factor receptor 2	
