disease_ID	DIS_ID	disease_name	ICD9	ICD10
782	DIS00782	Toxoplasmosis	130	B58
783	DIS00783	Transmissible spongiform encephalopathies		
784	DIS00784	Transplant failure or rejection		
785	DIS00785	Traumatic brain injuries	800, 801, 803, 804, 850-854	S06
786	DIS00786	Traumatic brain injury	800, 801, 803, 804, 850-854	S06
787	DIS00787	Traumatic head injury	800-879	S00.0S09
788	DIS00788	Treatment-refractory psychoses	290-299	F20-F29
789	DIS00789	Tremor, unspecified	781	R25.1
790	DIS00790	Trichomoniasis	131	A59
791	DIS00791	Trypanolytic infections	001-139	A00-B99
792	DIS00792	Trypanosomatid infections	001-139	A00-B99
793	DIS00793	Trypanosomiasis	86.5	B56
794	DIS00794	Tuberculosis	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
795	DIS00795	Tumor angiogenesis	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
796	DIS00796	Tumor angiogenesis and metastasis	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
797	DIS00797	Tumors	140-199, 200, 202, 202.8, 210-229	C00-C75, C7A, C7B, C81-C96, C82-C85, D10-D36, D3A
798	DIS00798	Type IV and V hyperlipidemia	272.0-272.4	E78
799	DIS00799	Tyrosinase-positive Melanomas	172	C43
800	DIS00800	Ulcerative colitis	555, 556, 556.9, 696, 696.0, 710-719, 714, 720.0	K50, K50-K52, K51, L40, L40.5, M00-M25, M05-M06, M07, M08.1, M45
801	DIS00801	Ulcers	528.2	K12.0
802	DIS00802	Urge incontinence	787.6, 788.3	N39.3-N39.4, R15, R32
803	DIS00803	Urinary Bladder Neoplasms		
804	DIS00804	Urinary incontinence	788.3	N39.3, N39.4, R32
805	DIS00805	Urinary tract infection	001-139, 595, 599.0	A00-B99, N30, N39.0
806	DIS00806	Urinary tract infections	001-139, 595, 599.0	A00-B99, N30, N39.0
807	DIS00807	Urologic Neoplasms		
808	DIS00808	Urological cancers	140-229	C00-C96
809	DIS00809	Varicose and spider veins of the leg	454-456, 671	I83, I85, I86
810	DIS00810	Vascular disease	390-459	I00-I99
811	DIS00811	Vascular Diseases	390-459, 411.1, 414.0, 440	I00-I99, I20.0, I25.1, I70
812	DIS00812	Vascular headache	339, 784.0	G43-G44, R51
813	DIS00813	Vascular injury response		
814	DIS00814	Vascular lesion regression		
815	DIS00815	Vasoconstriction	443	I73
816	DIS00816	Vasospasm	443.9	I73.9
817	DIS00817	Vasospastic angina	413	I20
818	DIS00818	Venous Thromboembolism	453	I80-I82
819	DIS00819	Ventricular dysfunction		
820	DIS00820	Ventricular hypertrophy		
821	DIS00821	Vertigo of central and peripheral origin	438.85, 780.4	H81, R42
822	DIS00822	Viral infection	042-075	A80-A99, B00-B34
823	DIS00823	Viral infection, unspecified	001-139, 042-075	A00-B99, A80-A99, B00-B34
824	DIS00824	viral infections	042-075	A80-A99, B00-B34
825	DIS00825	Visceral leishmaniasis	085.0, 110-118	B35-B49, B55.0
826	DIS00826	Visceral pain	338780	R52, G89
827	DIS00827	Vitamin A deficiency		
828	DIS00828	Vitamin B12 deficiency	266.2	E53.8
829	DIS00829	Vitamin B6 deficiency	266.1	E53.1
830	DIS00830	Vitamin D deficiency	268	E55
831	DIS00831	Vomiting	698, 787, 787.0, 995.3	L29, R11, T78.4
832	DIS00832	Von Willebrand's disease	286.4	D68.0
833	DIS00833	Waldenstrom's macroglobulinemia	273.3	C88.0
834	DIS00834	Water-retaining diseases		
835	DIS00835	West's syndrome	345.6	G40.4
836	DIS00836	X-linked congenital adrenal hypoplasia		
837	DIS00837	Zollinger-Ellison syndrome	251.5	E16.4
1001	DIS01001	Blood group, Yt system		
1002	DIS01002	Androgen insensitivity	259.5	?E34.51
1003	DIS01003	Hypospadias 1, X-linked	752.6	Q54
1004	DIS01004	Spinal and bulbar muscular atrophy of Kennedy	335.1	G12.1
1005	DIS01005	XY disorders of sex development (Disorders in androgen synthesis or action)		E25.0 E34.5 Q56.1 Q87.1
1006	DIS01006	XY disorders of sex development (Other)		E25.0 E34.5 Q56.1 Q87.2
1007	DIS01007	Lyme disease?	88.81	A69.2
1008	DIS01008	Tropical calcific pancreatitis		
1009	DIS01009	Hereditary pancreatitis		
1010	DIS01010	Oropharyngeal candidiasis?		
1011	DIS01011	syndrome 5A		
1012	DIS01012	XX disorders of sex development (Disorders related to androgen excess)		
1013	DIS01013	Other phagocyte defects		
1014	DIS01014	Anemia due to disorders of glutathione metabolism		
1015	DIS01015	Hypertension, early-onset, autosomal dominant, with exacerbation in pregnancy		
1016	DIS01016	Pseudohypoaldosteronism type I, autosomal dominant		
1017	DIS01017	Hyperkalemic distal renal tubular acidosis (RTA type 4)		
1018	DIS01018	Injury to nervous tissue or neurons?		
1019	DIS01019	Dysprothrombinemia	286.3	D68.2
1020	DIS01020	Hypoprothrombinemia	286.3	D68.2
1021	DIS01021	Atopy, susceptibility to		
1022	DIS01022	albinism digenic	270.2	E70.3
1023	DIS01023	Albinism, oculocutaneous, type IA	270.2	E70.3
1024	DIS01024	Albinism, oculocutaneous, type IB	270.2	E70.3
1025	DIS01025	Melanoma, cutaneous malignant		
1026	DIS01026	Skin/hair/eye pigmentation 3, blue/green eyes		
1027	DIS01027	Skin/hair/eye pigmentation 3, light/dark/freckling skin		
1028	DIS01028	Waardenburg syndrome	270.2	E70.3
1029	DIS01029	Oculocutaneous albinism (OCA)	270.2	E70.3
1030	DIS01030	Microvascular complications of diabetes 1		
